Date,Ticker,Open,High,Low,Close,Volume
2023-03-06,TSLA,198.5399932861328,198.60000610351562,192.3000030517578,193.80999755859375,128100100
2023-03-06,AAPL,151.59383305095145,154.06799923846452,151.26855877090114,151.63327026367188,87558000
2023-03-06,NVDA,23.867107967065923,24.223749385629638,23.463510762437853,23.530445098876953,437429000
2023-03-07,TSLA,191.3800048828125,194.1999969482422,186.10000610351562,187.7100067138672,148125800
2023-03-07,AAPL,151.50512207262017,151.83041139396585,148.9718301446463,149.43511962890625,56182000
2023-03-07,NVDA,23.580404618172988,24.104968314326598,23.221701547557327,23.26866340637207,515154000
2023-03-08,TSLA,185.0399932861328,186.5,180.0,182.0,151897800
2023-03-08,AAPL,150.62784041964048,151.278419098267,149.66183922588297,150.68698120117188,47204800
2023-03-08,NVDA,23.467497114785473,24.179906326422394,23.4045497011768,24.160921096801758,513573000
2023-03-09,TSLA,180.25,185.17999267578125,172.50999450683594,172.9199981689453,170023800
2023-03-09,AAPL,151.3671337581158,152.33313497413033,148.08468493947933,148.43954467773438,53833600
2023-03-09,NVDA,24.154924912871536,24.43369447307599,23.36358275312628,23.416540145874023,501257000
2023-03-10,TSLA,175.1300048828125,178.2899932861328,168.44000244140625,173.44000244140625,191488900
2023-03-10,AAPL,148.0649820559655,148.78455331931613,145.50210448552664,146.37939453125,68572400
2023-03-10,NVDA,23.389562036275382,23.607381425129905,22.70712862155447,22.94593048095703,474866000
2023-03-13,TSLA,167.4600067138672,177.35000610351562,163.91000366210938,174.47999572753906,167790300
2023-03-13,AAPL,145.69925527320058,150.95314411845015,145.59082548311505,148.32127380371094,84457100
2023-03-13,NVDA,22.733106940046454,23.27865305444534,22.278484860419933,22.946928024291992,421890000
2023-03-14,TSLA,177.30999755859375,183.8000030517578,177.13999938964844,183.25999450683594,143717900
2023-03-14,AAPL,149.11968969699433,151.209410853691,147.95654755608294,150.41098022460938,73695900
2023-03-14,NVDA,23.476491591871543,24.198890859033952,23.440520278180596,24.043020248413086,474910000
2023-03-15,TSLA,180.8000030517578,182.33999633789062,176.02999877929688,180.4499969482422,145995600
2023-03-15,AAPL,149.03098388604963,151.06156433450928,147.77911548729296,150.80528259277344,77167900
2023-03-15,NVDA,23.74127063015997,24.26583433506912,23.34060451539056,24.207883834838867,524486000
2023-03-16,TSLA,180.3699951171875,185.80999755859375,178.83999633789062,184.1300048828125,121136800
2023-03-16,AAPL,149.98711209240733,154.22570978036399,149.47453364061312,153.62442016601562,76161100
2023-03-16,NVDA,24.007047963864338,25.56675059825911,23.874157083100002,25.519790649414062,583253000
2023-03-17,TSLA,184.52000427246094,186.22000122070312,177.3300018310547,180.1300048828125,133197100
2023-03-17,AAPL,153.8511391851991,154.50171782493953,152.07684064085686,152.78656005859375,98944600
2023-03-17,NVDA,25.960428483656013,26.37708208145305,25.6466881034461,25.703641891479492,848547000
2023-03-20,TSLA,178.0800018310547,186.44000244140625,176.35000610351562,183.25,129684400
2023-03-20,AAPL,152.85558396503848,155.56631354554972,151.94870846939224,155.1522979736328,73641400
2023-03-20,NVDA,25.593727284385547,26.00238801858856,25.109129452450585,25.878490447998047,432747000
2023-03-21,TSLA,188.27999877929688,198.0,188.0399932861328,197.5800018310547,153391400
2023-03-21,AAPL,155.07342994575768,157.1237136794573,154.30455474450915,157.00543212890625,73938300
2023-03-21,NVDA,26.158260863210074,26.370084715171625,25.359924553123577,26.177244186401367,547408000
2023-03-22,TSLA,199.3000030517578,200.66000366210938,190.9499969482422,191.14999389648438,150376400
2023-03-22,AAPL,157.02518131500096,159.824622189753,155.55645326577164,155.576171875,75701800
2023-03-22,NVDA,26.403058470135374,27.566093460595848,26.215214841606247,26.44602394104004,797295000
2023-03-23,TSLA,195.25999450683594,199.30999755859375,188.64999389648438,192.22000122070312,144193900
2023-03-23,AAPL,156.5618527096425,159.2430113419942,155.4282660956086,156.66041564941406,67622100
2023-03-23,NVDA,27.092483687984217,27.476165594948146,26.66783736695665,27.168420791625977,564889000
2023-03-24,TSLA,191.64999389648438,192.36000061035156,187.14999389648438,190.41000366210938,116312400
2023-03-24,AAPL,156.5914588714899,158.0503200650471,155.5958872192805,157.96160888671875,59196500
2023-03-24,NVDA,27.008555018771276,27.14444177136707,26.333115738961876,26.756763458251953,454920000
2023-03-27,TSLA,194.4199981689453,197.38999938964844,189.94000244140625,191.80999755859375,120851600
2023-03-27,AAPL,157.6560281012329,158.47417734472043,155.61558088418133,156.0197296142578,52390300
2023-03-27,NVDA,26.814715931188335,26.977580691716717,26.343107731941966,26.508970260620117,361026000
2023-03-28,TSLA,192.0,192.35000610351562,185.42999267578125,189.19000244140625,98654600
2023-03-28,AAPL,155.71416498675424,156.226743517172,153.7525770821358,155.3987274169922,45992200
2023-03-28,NVDA,26.42503717383145,26.490982347841836,25.828532839951382,26.3880672454834,356104000
2023-03-29,TSLA,193.1300048828125,195.2899932861328,189.44000244140625,193.8800048828125,123660000
2023-03-29,AAPL,157.09415020907082,158.75016719414856,157.074446643704,158.4741668701172,51305700
2023-03-29,NVDA,26.80272905587712,27.055517353686565,26.57491771466647,26.96159553527832,393694000
2023-03-30,TSLA,195.5800018310547,197.3300018310547,194.4199981689453,195.27999877929688,110252200
2023-03-30,AAPL,159.2232937572216,160.14987263415844,158.96701206310877,160.04144287109375,49501700
2023-03-30,NVDA,27.206386668765525,27.4761628937449,27.079491333000313,27.360258102416992,364516000
2023-03-31,TSLA,197.52999877929688,207.7899932861328,197.1999969482422,207.4600067138672,170222100
2023-03-31,AAPL,160.12033413577524,162.64377453412575,159.597903820846,162.54519653320312,68749800
2023-03-31,NVDA,27.117460914270833,27.810884824300686,27.082490132563102,27.75393295288086,433933000
2023-04-03,TSLA,199.91000366210938,202.69000244140625,192.1999969482422,194.77000427246094,169545900
2023-04-03,AAPL,161.92421157763323,163.91535493872908,161.87492257463953,163.7970733642578,56976200
2023-04-03,NVDA,27.486155591511658,27.97674705699484,27.31329892606636,27.941776275634766,398716000
